"","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years"
"1",3.5,0.5,193.5,37.5,210.5,185.5,113.5,18.5,36.5,53.5,0.5,39.5,49.5,25.5
"2",56.5,72.5,305.5,167.5,57.5,112.5,93.5,28.5,139.5,44.5,122.5,167.5,38.5,0.5
"3",144.5,252.5,62.5,0.5,22.5,76.5,98.5,25.5,68.5,47.5,115.5,0.5,22.5,0.5
"4",102.5,80.5,126.5,58.5,80.5,211.5,459.5,88.5,90.5,27.5,61.5,81.5,37.5,87.5
"5",24.5,61.5,0.5,68.5,23.5,69.5,81.5,0.5,25.5,0.5,12.5,27.5,79.5,51.5
"6",43.5,74.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"7",103.5,113.5,196.5,75.5,116.5,190.5,111.5,39.5,165.5,49.5,72.5,101.5,35.5,0.5
"8",12.5,67.5,52.5,55.5,110.5,68.5,51.5,112.5,21.5,43.5,21.5,0.5,0.5,0.5
"9",304.5,158.5,31.5,159.5,295.5,248.5,189.5,0.5,134.5,69.5,48.5,47.5,188.5,354.5
"10",103.5,53.5,22.5,51.5,138.5,147.5,0.5,44.5,60.5,42.5,19.5,0.5,27.5,30.5
"11",55.5,50.5,237.5,241.5,113.5,76.5,322.5,43.5,139.5,0.5,14.5,0.5,76.5,173.5
"12",29.5,0.5,175.5,233.5,108.5,112.5,131.5,34.5,30.5,55.5,18.5,0.5,12.5,0.5
"13",128.5,57.5,81.5,65.5,0.5,98.5,43.5,155.5,33.5,101.5,51.5,144.5,23.5,0.5
"14",55.5,127.5,215.5,368.5,27.5,94.5,170.5,123.5,13.5,10.5,44.5,38.5,71.5,0.5
"15",0.5,178.5,125.5,41.5,81.5,43.5,123.5,32.5,30.5,16.5,60.5,7.5,52.5,19.5
"16",38.5,82.5,69.5,61.5,79.5,118.5,82.5,95.5,59.5,14.5,0.5,27.5,20.5,43.5
"17",0.5,55.5,92.5,125.5,12.5,49.5,74.5,11.5,11.5,34.5,44.5,29.5,43.5,29.5
"18",135.5,138.5,284.5,180.5,152.5,151.5,104.5,58.5,39.5,24.5,56.5,96.5,51.5,0.5
"19",82.5,102.5,133.5,81.5,224.5,102.5,57.5,61.5,105.5,14.5,66.5,97.5,67.5,36.5
"20",45.5,297.5,191.5,135.5,134.5,116.5,253.5,108.5,143.5,0.5,14.5,72.5,0.5,0.5
"21",9.5,17.5,11.5,30.5,96.5,10.5,0.5,0.5,74.5,38.5,82.5,63.5,8.5,0.5
"22",9.5,150.5,124.5,84.5,24.5,71.5,94.5,23.5,18.5,31.5,0.5,18.5,52.5,0.5
"23",112.5,78.5,220.5,130.5,126.5,213.5,77.5,58.5,31.5,35.5,70.5,141.5,48.5,20.5
"24",435.5,41.5,270.5,158.5,125.5,167.5,326.5,147.5,77.5,12.5,1.5,0.5,115.5,90.5
"25",41.5,40.5,63.5,263.5,221.5,136.5,59.5,15.5,36.5,7.5,37.5,69.5,74.5,78.5
"26",93.5,22.5,75.5,160.5,75.5,84.5,49.5,68.5,85.5,96.5,0.5,20.5,60.5,36.5
"27",81.5,124.5,279.5,179.5,32.5,146.5,64.5,59.5,23.5,8.5,22.5,59.5,43.5,29.5
"28",182.5,83.5,68.5,8.5,27.5,12.5,15.5,13.5,0.5,0.5,10.5,13.5,0.5,0.5
"29",100.5,51.5,36.5,301.5,194.5,215.5,309.5,81.5,39.5,32.5,47.5,50.5,38.5,23.5
"30",86.5,352.5,147.5,70.5,220.5,190.5,44.5,16.5,105.5,66.5,6.5,12.5,19.5,0.5
"31",267.5,226.5,273.5,169.5,49.5,199.5,204.5,3.5,123.5,47.5,111.5,28.5,5.5,0.5
"32",239.5,73.5,25.5,28.5,0.5,56.5,23.5,29.5,0.5,0.5,0.5,16.5,0.5,14.5
"33",157.5,69.5,56.5,108.5,110.5,59.5,75.5,52.5,33.5,59.5,61.5,71.5,18.5,27.5
"34",35.5,14.5,17.5,45.5,12.5,65.5,49.5,53.5,51.5,36.5,31.5,74.5,32.5,15.5
"35",184.5,106.5,62.5,277.5,75.5,128.5,73.5,72.5,106.5,24.5,33.5,72.5,12.5,30.5
"36",36.5,180.5,187.5,67.5,216.5,85.5,200.5,0.5,57.5,13.5,43.5,40.5,28.5,46.5
"37",86.5,39.5,92.5,0.5,10.5,42.5,36.5,6.5,20.5,21.5,0.5,0.5,36.5,0.5
"38",13.5,80.5,221.5,169.5,188.5,137.5,87.5,38.5,43.5,7.5,318.5,92.5,31.5,17.5
"39",447.5,145.5,225.5,296.5,85.5,125.5,516.5,34.5,116.5,61.5,41.5,110.5,206.5,5.5
"40",47.5,92.5,16.5,7.5,22.5,18.5,71.5,10.5,98.5,0.5,10.5,21.5,81.5,18.5
"41",15.5,120.5,101.5,63.5,211.5,104.5,108.5,38.5,57.5,136.5,22.5,56.5,45.5,42.5
"42",109.5,115.5,124.5,43.5,71.5,133.5,87.5,9.5,23.5,9.5,8.5,13.5,0.5,0.5
"43",62.5,178.5,137.5,78.5,88.5,62.5,153.5,19.5,52.5,39.5,92.5,70.5,56.5,0.5
"44",15.5,7.5,8.5,77.5,36.5,54.5,31.5,0.5,24.5,31.5,49.5,51.5,52.5,29.5
"45",270.5,74.5,97.5,101.5,203.5,256.5,321.5,13.5,82.5,84.5,14.5,89.5,34.5,7.5
"46",138.5,136.5,40.5,100.5,23.5,40.5,138.5,81.5,96.5,79.5,32.5,25.5,0.5,28.5
"47",94.5,37.5,27.5,128.5,88.5,178.5,220.5,100.5,68.5,21.5,61.5,42.5,26.5,0.5
