"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
5.5,2,346,120,47.5,381.5,140.5
45.5,29,359,258,105.5,501.5,148.5
27.5,119,150,124,41.5,316.5,179.5
28.5,30,497,343,224.5,390.5,113.5
16.5,2,112,153,37.5,139.5,71.5
5.5,2,1,14,14.5,0.5,91.5
167.5,176,239,279,106.5,321.5,103.5
69.5,2,287,115,0.5,94.5,72.5
206.5,59,700,440,232.5,355.5,283.5
5.5,142,229,145,138.5,49.5,38.5
54.5,91,526,118,166.5,469.5,188.5
5.5,225,454,97,34.5,85.5,64.5
26.5,32,432,227,28.5,233.5,54.5
61.5,49,527,90,116.5,489.5,45.5
59.5,89,248,201,37.5,185.5,14.5
18.5,48,243,164,106.5,193.5,57.5
68.5,50,76,101,34.5,189.5,121.5
28.5,23,167,132,169.5,651.5,333.5
29.5,2,292,71,91.5,474.5,331.5
24.5,12,361,324,201.5,357.5,254.5
78.5,2,137,53,30.5,141.5,19.5
5.5,45,168,67,46.5,285.5,104.5
73.5,41,325,258,128.5,251.5,305.5
176.5,28,287,475,355.5,579.5,74.5
163.5,224,347,246,66.5,114.5,53.5
64.5,62,222,246,118.5,152.5,88.5
79.5,145,203,196,35.5,401.5,117.5
15.5,15,67,27,34.5,83.5,200.5
64.5,31,287,255,315.5,498.5,112.5
32.5,272,110,153,52.5,447.5,277.5
56.5,215,373,151,105.5,617.5,197.5
7.5,16,66,97,0.5,177.5,150.5
21.5,21,143,207,34.5,304.5,267.5
18.5,15,55,88,27.5,191.5,157.5
30.5,79,137,257,59.5,358.5,361.5
11.5,52,21,228,91.5,558.5,260.5
24.5,2,25,38,5.5,68.5,236.5
16.5,88,129,119,63.5,508.5,544.5
84.5,100,998,239,54.5,643.5,331.5
5.5,2,137,32,29.5,197.5,119.5
27.5,2,217,171,65.5,390.5,262.5
5.5,20,182,76,92.5,135.5,244.5
5.5,12,244,171,41.5,444.5,203.5
15.5,25,230,70,0.5,80.5,84.5
14.5,8,566,341,63.5,481.5,191.5
17.5,16,173,140,52.5,409.5,167.5
29.5,26,289,320,47.5,244.5,181.5
5.5,41,92,127,73.5,174.5,77.5
34.5,18,351,169,131.5,141.5,128.5
24.5,19,365,175,72.5,364.5,244.5
29.5,2,399,85,41.5,139.5,56.5
149.5,97,391,211,190.5,403.5,273.5
9.5,44,221,193,98.5,200.5,101.5
15.5,30,200,333,108.5,121.5,80.5
35.5,10,312,119,9.5,219.5,23.5
43.5,11,87,98,39.5,141.5,49.5
13.5,2,137,77,44.5,154.5,43.5
64.5,54,344,589,205.5,607.5,542.5
5.5,2,340,91,38.5,114.5,1.5
5.5,383,302,241,19.5,478.5,135.5
103.5,55,292,209,72.5,438.5,702.5
5.5,31,28,103,0.5,283.5,170.5
41.5,14,136,163,42.5,297.5,324.5
21.5,2,29,73,63.5,674.5,478.5
5.5,2,4,13,0.5,150.5,661.5
68.5,2,137,137,167.5,448.5,785.5
37.5,65,314,79,15.5,237.5,149.5
5.5,18,56,42,20.5,112.5,206.5
8.5,80,86,161,102.5,330.5,236.5
93.5,2,408,167,184.5,423.5,391.5
18.5,2,79,72,48.5,285.5,356.5
13.5,26,86,40,11.5,434.5,644.5
33.5,8,67,130,25.5,166.5,495.5
54.5,22,92,47,55.5,122.5,311.5
63.5,57,185,111,8.5,328.5,442.5
5.5,5,208,32,20.5,412.5,140.5
40.5,37,97,69,20.5,479.5,468.5
255.5,137,250,134,36.5,587.5,420.5
25.5,36,88,103,0.5,269.5,222.5
29.5,5,185,60,24.5,293.5,302.5
21.5,23,151,148,44.5,325.5,349.5
16.5,13,63,43,28.5,454.5,533.5
26.5,51,238,91,75.5,406.5,599.5
72.5,69,209,145,60.5,356.5,552.5
27.5,12,54,66,28.5,396.5,470.5
49.5,51,147,15,21.5,542.5,369.5
34.5,23,27,51,76.5,408.5,441.5
33.5,2,1,81,0.5,264.5,257.5
5.5,34,98,91,22.5,361.5,236.5
5.5,2,127,66,82.5,469.5,390.5
39.5,14,46,65,54.5,279.5,178.5
5.5,2,34,43,23.5,133.5,157.5
32.5,27,144,187,19.5,412.5,638.5
5.5,2,57,142,15.5,253.5,255.5
5.5,2,41,22,42.5,189.5,144.5
13.5,23,56,27,46.5,396.5,287.5
17.5,7,110,19,31.5,202.5,258.5
96.5,114,172,21,0.5,507.5,293.5
134.5,260,26,95,88.5,510.5,265.5
79.5,58,116,34,5.5,229.5,249.5
5.5,2,177,1,28.5,102.5,173.5
5.5,2,1,24,0.5,0.5,1.5
26.5,50,356,89,166.5,377.5,1107.5
5.5,257,193,222,25.5,89.5,39.5
36.5,43,138,421,59.5,320.5,177.5
35.5,30,111,84,55.5,277.5,154.5
78.5,19,104,152,37.5,458.5,448.5
14.5,2,54,33,10.5,251.5,205.5
5.5,113,173,77,138.5,45.5,147.5
41.5,2,143,132,79.5,647.5,530.5
5.5,21,55,69,77.5,425.5,280.5
81.5,18,97,54,0.5,302.5,160.5
11.5,47,135,135,38.5,657.5,424.5
96.5,22,258,208,55.5,591.5,560.5
5.5,144,311,298,50.5,292.5,90.5
5.5,48,301,79,0.5,579.5,582.5
30.5,47,145,128,7.5,161.5,31.5
106.5,14,314,187,60.5,239.5,91.5
29.5,33,203,155,93.5,181.5,122.5
170.5,20,131,235,89.5,72.5,96.5
8.5,19,185,103,0.5,131.5,42.5
5.5,2,161,66,32.5,286.5,70.5
19.5,57,101,121,47.5,130.5,100.5
42.5,86,485,154,123.5,428.5,197.5
104.5,85,631,108,35.5,238.5,133.5
70.5,15,200,105,11.5,120.5,64.5
59.5,60,477,235,116.5,305.5,240.5
26.5,12,194,35,109.5,165.5,41.5
104.5,2,173,131,154.5,354.5,75.5
5.5,71,186,139,31.5,59.5,94.5
5.5,168,303,174,54.5,276.5,178.5
5.5,96,343,162,77.5,145.5,60.5
38.5,38,389,149,97.5,211.5,115.5
55.5,54,255,179,107.5,216.5,86.5
5.5,27,115,132,198.5,557.5,315.5
