"Less than $25,000","$25,000 - $34,999","$35,000 - $49,999","$50,000 - 74,999","$75,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 and above"
8,54,151,18,213,167,71,47
39,4,29,121,63,232,88,169
33,30,129,50,18,216,100,46
23,39,34,81,123,85,201,249
44,25,22,29,25,85,13,44
8,4,6,4,2,40,28,2
39,4,71,143,100,155,166,48
25,4,52,77,42,85,62,14
214,21,105,53,166,252,74,143
162,4,124,4,2,42,103,32
112,4,181,82,55,113,53,207
158,23,51,144,216,4,2,57
133,4,24,32,50,213,27,31
32,37,27,40,123,205,113,21
17,35,6,163,44,109,92,31
8,28,36,45,10,90,67,79
18,4,8,48,15,53,51,108
54,4,87,43,94,141,164,175
19,4,45,4,24,180,157,141
8,43,33,85,115,332,172,75
15,4,41,14,23,103,40,62
152,22,26,17,34,120,18,93
16,45,73,73,141,76,104,114
21,46,17,89,127,178,2,293
44,60,33,41,48,94,129,38
37,32,10,123,40,77,92,66
29,18,87,69,88,139,21,97
28,4,6,26,44,55,74,42
19,27,45,97,101,135,65,207
56,25,17,154,279,210,65,13
75,62,57,203,77,194,162,31
60,4,44,24,49,145,2,12
34,4,20,23,28,104,137,98
24,19,6,16,5,75,44,77
86,30,16,145,103,118,114,137
28,4,34,109,2,82,168,165
90,4,6,4,20,105,31,17
44,4,258,19,229,95,77,202
21,16,6,151,171,227,156,302
8,4,50,54,9,28,50,64
19,12,6,4,10,81,127,189
79,48,31,116,83,112,15,21
43,4,12,65,82,98,95,102
54,44,36,35,12,30,38,59
8,4,45,21,51,224,171,196
15,4,6,10,80,87,89,118
50,16,40,87,88,106,118,83
8,36,21,15,2,99,29,68
18,37,6,28,34,182,38,145
37,15,9,57,49,141,150,122
29,9,35,30,33,146,65,46
104,12,48,59,91,151,202,183
8,4,45,71,55,90,63,107
85,40,16,178,60,42,79,31
26,4,6,68,65,143,27,53
41,25,14,21,28,29,63,51
31,11,6,39,51,45,13,47
57,27,44,95,85,320,127,330
8,4,6,80,107,125,45,2
19,4,95,155,75,146,36,91
8,19,40,35,40,149,161,335
37,4,12,11,116,22,75,2
34,23,6,26,21,124,128,125
73,33,61,195,132,192,128,109
99,4,6,26,15,49,123,172
143,79,103,183,170,108,208,164
91,4,30,181,56,26,29,17
8,4,24,4,18,65,2,122
224,4,34,34,58,215,74,16
208,4,28,239,170,193,157,41
20,24,6,41,33,160,52,127
32,63,51,62,124,173,110,174
53,33,100,225,75,43,50,81
8,4,22,25,9,57,43,136
8,23,6,31,79,96,34,232
13,4,6,21,35,74,146,60
97,4,27,32,24,69,88,270
327,37,69,68,86,94,105,201
18,13,6,11,58,70,76,92
19,4,6,4,46,136,68,124
16,4,15,15,2,81,44,258
45,20,13,58,30,64,105,351
26,21,23,15,38,184,65,277
43,39,77,251,144,83,41,252
25,48,6,34,79,123,61,187
8,32,28,10,60,67,23,266
18,30,6,128,15,188,14,234
25,4,6,25,21,92,149,39
8,4,21,53,43,60,18,207
92,4,26,12,168,96,199,177
31,18,19,11,14,44,45,162
8,13,6,15,11,52,46,70
31,34,30,33,50,104,76,350
8,4,6,46,2,41,50,178
16,4,6,15,2,14,44,107
12,9,13,34,7,64,39,236
24,4,34,17,30,42,65,126
22,19,83,83,2,69,189,128
114,4,59,202,48,145,31,93
8,4,92,4,2,121,31,90
8,4,6,13,70,72,56,48
8,4,6,4,2,27,2,2
58,66,84,160,241,327,162,95
24,4,41,83,181,28,28,28
78,30,51,47,156,83,130,66
8,17,21,34,26,144,31,79
83,4,6,114,58,153,28,270
24,4,6,23,2,38,21,124
27,17,6,60,102,39,74,2
8,4,72,54,43,454,115,78
52,28,19,29,34,100,84,141
63,9,13,140,31,76,51,39
35,55,26,74,54,178,194,124
31,4,45,146,58,173,106,198
118,4,6,50,11,56,203,44
55,30,45,158,150,292,41,135
27,14,44,4,34,132,20,23
8,4,22,146,46,98,119,84
61,20,22,59,37,56,60,84
54,47,58,150,70,89,67,21
46,30,76,28,11,4,31,58
8,4,48,4,22,79,78,87
19,54,41,46,19,66,30,62
46,41,63,102,168,110,115,102
59,25,6,14,60,214,109,83
28,4,35,45,42,32,31,58
57,25,87,139,59,108,136,121
28,15,6,33,51,97,73,20
43,4,6,94,56,207,31,30
