"","Male","Female"
"1",264.5,697.5
"2",760.5,640.5
"3",413.5,518.5
"4",827.5,760.5
"5",209.5,311.5
"6",55.5,62.5
"7",722.5,643.5
"8",334.5,278.5
"9",1023.5,1201.5
"10",318.5,418.5
"11",754.5,785.5
"12",410.5,527.5
"13",532.5,447.5
"14",795.5,560.5
"15",384.5,423.5
"16",390.5,397.5
"17",316.5,292.5
"18",702.5,766.5
"19",614.5,613.5
"20",842.5,666.5
"21",134.5,304.5
"22",366.5,332.5
"23",716.5,643.5
"24",1166.5,798.5
"25",567.5,572.5
"26",380.5,543.5
"27",572.5,576.5
"28",223.5,208.5
"29",749.5,767.5
"30",706.5,627.5
"31",859.5,845.5
"32",270.5,233.5
"33",503.5,452.5
"34",236.5,293.5
"35",611.5,643.5
"36",589.5,609.5
"37",207.5,181.5
"38",560.5,881.5
"39",1091.5,1321.5
"40",231.5,280.5
"41",596.5,522.5
"42",436.5,308.5
"43",528.5,558.5
"44",193.5,271.5
"45",832.5,813.5
"46",485.5,471.5
"47",495.5,595.5
"48",279.5,242.5
"49",474.5,445.5
"50",624.5,614.5
"51",376.5,363.5
"52",878.5,800.5
"53",433.5,392.5
"54",399.5,397.5
"55",360.5,357.5
"56",211.5,239.5
"57",258.5,202.5
"58",1294.5,971.5
"59",336.5,234.5
"60",691.5,848.5
"61",899.5,945.5
"62",154.5,456.5
"63",425.5,496.5
"64",759.5,571.5
"65",448.5,377.5
"66",872.5,727.5
"67",426.5,445.5
"68",166.5,283.5
"69",458.5,500.5
"70",892.5,766.5
"71",339.5,511.5
"72",614.5,607.5
"73",323.5,554.5
"74",372.5,304.5
"75",543.5,601.5
"76",377.5,378.5
"77",516.5,672.5
"78",758.5,879.5
"79",337.5,345.5
"80",461.5,416.5
"81",488.5,563.5
"82",536.5,552.5
"83",716.5,686.5
"84",560.5,869.5
"85",520.5,518.5
"86",567.5,581.5
"87",566.5,455.5
"88",337.5,291.5
"89",387.5,450.5
"90",545.5,586.5
"91",291.5,320.5
"92",204.5,174.5
"93",692.5,641.5
"94",346.5,360.5
"95",226.5,209.5
"96",439.5,354.5
"97",339.5,235.5
"98",650.5,543.5
"99",685.5,661.5
"100",377.5,375.5
"101",237.5,241.5
"102",23.5,0.5
"103",1104.5,1057.5
"104",397.5,423.5
"105",642.5,534.5
"106",399.5,329.5
"107",650.5,636.5
"108",292.5,267.5
"109",462.5,226.5
"110",870.5,694.5
"111",455.5,420.5
"112",342.5,360.5
"113",635.5,732.5
"114",980.5,719.5
"115",413.5,767.5
"116",884.5,700.5
"117",269.5,247.5
"118",593.5,367.5
"119",375.5,386.5
"120",344.5,418.5
"121",293.5,177.5
"122",291.5,305.5
"123",278.5,278.5
"124",715.5,741.5
"125",653.5,628.5
"126",343.5,232.5
"127",586.5,853.5
"128",282.5,285.5
"129",485.5,498.5
"130",254.5,305.5
"131",571.5,566.5
"132",514.5,355.5
"133",418.5,568.5
"134",419.5,513.5
"135",627.5,677.5
"136",645.5,465.5
"137",415.5,465.5
"138",268.5,317.5
"139",898.5,781.5
"140",294.5,325.5
"141",11.5,15.5
"142",21.5,69.5
"143",615.5,580.5
"144",515.5,484.5
"145",644.5,570.5
"146",258.5,241.5
"147",231.5,274.5
"148",215.5,299.5
"149",319.5,335.5
"150",421.5,404.5
"151",435.5,740.5
"152",718.5,1130.5
"153",232.5,288.5
"154",427.5,543.5
"155",296.5,307.5
"156",449.5,403.5
"157",297.5,382.5
"158",301.5,313.5
"159",556.5,631.5
"160",510.5,547.5
"161",280.5,270.5
"162",505.5,627.5
"163",625.5,791.5
"164",569.5,573.5
"165",685.5,601.5
"166",637.5,817.5
"167",857.5,821.5
"168",465.5,546.5
"169",173.5,194.5
"170",244.5,230.5
"171",355.5,281.5
"172",548.5,550.5
"173",453.5,442.5
"174",522.5,405.5
"175",578.5,484.5
"176",446.5,375.5
"177",345.5,535.5
"178",1129.5,1090.5
"179",625.5,786.5
"180",433.5,349.5
"181",343.5,468.5
"182",600.5,923.5
"183",318.5,192.5
"184",355.5,381.5
"185",204.5,284.5
"186",209.5,280.5
"187",658.5,857.5
"188",673.5,661.5
"189",530.5,801.5
"190",377.5,368.5
"191",252.5,222.5
"192",192.5,176.5
"193",757.5,889.5
"194",821.5,798.5
"195",182.5,318.5
"196",401.5,480.5
"197",393.5,476.5
"198",410.5,336.5
"199",1085.5,601.5
"200",214.5,236.5
"201",402.5,470.5
"202",308.5,294.5
"203",458.5,576.5
"204",685.5,819.5
"205",401.5,341.5
"206",744.5,661.5
"207",420.5,526.5
"208",692.5,558.5
"209",493.5,334.5
"210",338.5,369.5
"211",226.5,248.5
"212",429.5,473.5
"213",766.5,665.5
"214",659.5,562.5
"215",349.5,552.5
"216",551.5,564.5
"217",148.5,228.5
"218",511.5,408.5
"219",576.5,596.5
"220",180.5,241.5
"221",372.5,375.5
"222",298.5,282.5
"223",497.5,703.5
"224",1025.5,1010.5
"225",399.5,485.5
"226",460.5,511.5
"227",464.5,475.5
"228",217.5,270.5
"229",228.5,202.5
"230",533.5,497.5
"231",393.5,425.5
"232",367.5,412.5
"233",823.5,700.5
