"Government","Private company","Non-profit organization including tax exempt and charitable organizations","Self-employed","Working in a family business"
258,432,21,25,0.5
163,491,94,168,0.5
203,534,21,2,0.5
129,971,128,22,0.5
106,243,1,2,0.5
3,118,1,2,0.5
50,867,21,17,0.5
38,417,25,61,0.5
199,1188,150,94,0.5
19,373,23,100,0.5
61,871,112,40,0.5
42,812,29,85,0.5
23,601,36,16,0.5
3,701,20,219,0.5
16,621,30,30,0.5
112,474,15,12,0.5
30,424,63,2,0.5
63,980,69,65,0.5
118,481,211,69,0.5
166,1203,19,93,0.5
14,247,28,84,0.5
106,374,11,2,0.5
66,723,47,70,0.5
53,1382,150,15,0.5
181,741,40,2,0.5
84,540,47,131,0.5
82,662,105,86,0.5
27,329,13,45,0.5
150,808,212,65,0.5
78,826,81,159,0.5
129,1078,155,138,0.5
22,437,27,10,0.5
101,365,30,132,0.5
59,262,30,22,0.5
122,706,24,34,0.5
175,705,139,9,0.5
49,156,29,40,0.5
112,705,129,49,0.5
130,1750,16,190,24.5
70,241,41,8,0.5
53,584,94,78,0.5
68,415,34,71,0.5
162,577,74,46,0.5
22,223,23,9,0.5
161,946,137,84,0.5
163,471,61,67,0.5
116,675,95,38,0.5
121,312,1,53,0.5
162,512,32,41,0.5
318,698,35,2,0.5
102,342,29,61,0.5
214,767,58,70,0.5
90,525,39,71,0.5
164,267,43,125,0.5
98,329,43,41,0.5
33,311,15,2,0.5
73,212,68,42,0.5
377,1079,84,100,0.5
109,342,37,20,0.5
82,657,211,58,0.5
116,1042,170,188,0.5
47,175,44,2,0.5
50,419,121,17,0.5
169,818,183,88,0.5
304,262,81,67,0.5
316,730,142,61,0.5
141,444,108,16,0.5
152,144,26,2,0.5
210,283,13,80,0.5
359,999,96,37,0.5
172,260,129,76,0.5
302,406,144,132,0.5
262,197,205,41,0.5
26,353,30,39,0.5
30,462,58,175,0.5
45,415,96,84,0.5
96,537,87,69,0.5
46,751,36,112,0.5
30,362,18,110,0.5
120,452,16,2,10.5
129,462,77,72,0.5
36,697,60,83,0.5
121,634,74,160,0.5
54,876,113,128,0.5
35,626,55,75,0.5
39,547,34,210,0.5
3,718,9,79,0.5
13,425,1,18,0.5
118,449,74,42,0.5
40,618,115,121,0.5
94,409,20,41,0.5
16,198,1,42,0.5
87,709,39,232,0.5
56,397,37,49,0.5
35,277,20,40,0.5
43,523,8,60,0.5
43,230,42,33,0.5
33,999,9,10,0.5
3,962,8,59,0.5
3,323,46,72,0.5
119,237,1,2,0.5
3,24,1,2,0.5
215,1214,186,129,0.5
41,480,1,82,0.5
117,622,14,35,0.5
96,347,59,56,0.5
31,513,198,131,6.5
30,244,44,32,0.5
26,417,30,87,0.5
114,1249,1,25,0.5
90,420,18,89,0.5
35,338,74,7,0.5
73,763,72,45,0.5
82,1039,12,41,0.5
152,547,1,126,0.5
46,1010,47,71,0.5
45,397,11,92,0.5
121,671,137,48,0.5
86,330,27,10,0.5
87,518,20,23,0.5
3,280,14,2,0.5
48,374,28,30,0.5
85,223,23,120,0.5
149,713,178,54,0.5
95,755,1,73,0.5
28,345,14,35,0.5
56,767,115,30,0.5
32,428,20,59,0.5
148,487,77,14,0.5
35,242,24,39,0.5
157,642,22,36,0.5
140,353,2,33,0.5
77,571,60,22,0.5
67,359,40,66,0.5
36,768,25,43,0.5
125,726,24,101,0.5
61,542,33,20,0.5
157,157,82,20,0.5
172,1111,150,32,0.5
20,396,1,14,0.5
3,12,3,2,0.5
50,22,23,2,0.5
100,727,42,28,0.5
170,456,18,80,0.5
11,643,70,45,0.5
72,220,1,33,0.5
45,312,41,46,0.5
116,244,17,48,0.5
77,352,47,52,0.5
91,429,23,12,0.5
373,367,1,23,0.5
223,876,142,88,0.5
50,328,81,16,0.5
146,490,71,22,0.5
70,318,43,25,0.5
59,540,85,64,0.5
163,261,40,135,0.5
116,403,24,34,0.5
173,599,34,65,0.5
185,269,157,48,0.5
93,230,79,43,0.5
186,615,88,45,0.5
244,706,63,66,0.5
102,866,72,52,0.5
194,769,57,49,0.5
176,668,47,104,0.5
174,703,94,137,0.5
140,462,1,151,0.5
21,219,29,17,0.5
83,185,6,21,0.5
51,342,9,27,0.5
106,487,65,102,0.5
76,461,72,18,0.5
150,458,6,98,0.5
126,627,77,26,0.5
3,438,84,92,0.5
256,350,1,52,0.5
186,1346,170,57,0.5
80,618,13,26,0.5
101,413,26,18,0.5
194,254,1,2,0.5
25,1024,20,40,0.5
77,397,20,41,0.5
191,317,1,2,0.5
36,283,12,8,0.5
100,206,29,41,0.5
64,824,91,41,0.5
24,827,19,124,0.5
58,556,103,72,0.5
55,436,19,47,0.5
66,327,16,3,0.5
38,192,1,43,0.5
78,881,135,83,0.5
313,841,161,67,0.5
191,269,22,26,0.5
103,466,73,62,0.5
130,518,4,30,0.5
120,454,156,29,0.5
